vintage,ticker
2010-01-01,MDP
2010-01-01,MDT
2010-01-01,MEE
2010-01-01,MET
2010-01-01,META
2010-01-01,MFE
2010-01-01,MHS
2010-01-01,MI
2010-01-01,MIL
2010-01-01,MJN
2010-01-01,MKC
2010-01-01,MMM
2010-01-01,MO
2010-01-01,MOLX
2010-01-01,MON
2010-01-01,MRK
2010-01-01,MRO
2010-01-01,MRSH
2010-01-01,MS
2010-01-01,MSFT
2010-01-01,MSI
2010-01-01,MTB
2010-01-01,MU
2010-01-01,MUR
2010-01-01,MWW
2010-01-01,NBL
2010-01-01,NBR
2010-01-01,NDAQ
2010-01-01,NE
2010-01-01,NEE
2010-01-01,NEM
2010-01-01,NI
2010-01-01,NKE
2010-01-01,NOC
2010-01-01,NOV
2010-01-01,NOVL
2010-01-01,NRG
2010-01-01,NSC
2010-01-01,NSM
2010-01-01,NTAP
2010-01-01,NTRS
2010-01-01,NUE
2010-01-01,NVDA
2010-01-01,NVLS
2010-01-01,NWL
2010-01-01,NYT
2010-01-01,NYX
2010-01-01,ODP
2010-01-01,OI
2010-01-01,OKE
2010-01-01,OMC
2010-01-01,ORCL
2010-01-01,ORLY
2010-01-01,OXY
2010-01-01,PAYX
2010-01-01,PBCT
2010-01-01,PBI
2010-01-01,PCAR
2010-01-01,PCG
2010-01-01,PCL
2010-01-01,PCP
2010-01-01,PCS
2010-01-01,PDCO
2010-01-01,PEG
2010-01-01,PEP
2010-01-01,PFE
2010-01-01,PFG
2010-01-01,PG
2010-01-01,PGN
2010-01-01,PGR
2010-01-01,PH
2010-01-01,PHM
2010-01-01,PLD
2010-01-01,PLL
2010-01-01,PM
2010-01-01,PNC
2010-01-01,PNW
2010-01-01,POM
2010-01-01,PPG
2010-01-01,PPL
2010-01-01,PRU
2010-01-01,PSA
2010-01-01,PSKY
2010-01-01,PTV
2010-01-01,PWR
2010-01-01,PXD
2010-01-01,Q
2010-01-01,QCOM
2010-01-01,R
2010-01-01,RAI
2010-01-01,RDC
2010-01-01,RF
2010-01-01,RHI
2010-01-01,RHT
2010-01-01,RL
2010-01-01,ROK
2010-01-01,ROP
2010-01-01,ROST
2010-01-01,RRC
2010-01-01,RRD
2010-01-01,RSG
2010-01-01,RSH
2010-01-01,RTN
2010-01-01,RTX
2010-01-01,RVTY
2010-01-01,RX
2010-01-01,S
2010-01-01,SAI
2010-01-01,SBUX
2010-01-01,SCG
2010-01-01,SCHW
2010-01-01,SE
2010-01-01,SEE
2010-01-01,SHLD
2010-01-01,SHW
2010-01-01,SIAL
2010-01-01,SII
2010-01-01,SJM
2010-01-01,SLB
2010-01-01,SLE
2010-01-01,SLM
2010-01-01,SNA
2010-01-01,SNDK
2010-01-01,SNI
2010-01-01,SO
2010-01-01,SPG
2010-01-01,SPGI
2010-01-01,SPLS
2010-01-01,SRCL
2010-01-01,SRE
2010-01-01,STI
2010-01-01,STJ
2010-01-01,STR
2010-01-01,STT
2010-01-01,STZ
2010-01-01,SUN
2010-01-01,SVU
2010-01-01,SW
2010-01-01,SWK
2010-01-01,SWN
2010-01-01,SWY
2010-01-01,SYK
2010-01-01,SYY
2010-01-01,T
2010-01-01,TAP
2010-01-01,TDC
2010-01-01,TE
2010-01-01,TEG
2010-01-01,TER
2010-01-01,TFC
2010-01-01,TGNA
2010-01-01,TGT
2010-01-01,THC
2010-01-01,TIE
2010-01-01,TIF
2010-01-01,TJX
2010-01-01,TLAB
2010-01-01,TMO
2010-01-01,TPR
2010-01-01,TROW
2010-01-01,TRV
2010-01-01,TSN
2010-01-01,TSS
2010-01-01,TT
2010-01-01,TWC
2010-01-01,TWX
2010-01-01,TXN
2010-01-01,TXT
2010-01-01,UAA
2010-01-01,UNH
2010-01-01,UNM
2010-01-01,UNP
2010-01-01,UPS
2010-01-01,URBN
2010-01-01,USB
2010-01-01,V
2010-01-01,VAR
2010-01-01,VFC
2010-01-01,VIAB
2010-01-01,VLO
2010-01-01,VMC
2010-01-01,VNO
2010-01-01,VRSN
2010-01-01,VTR
2010-01-01,VTRS
2010-01-01,VZ
2010-01-01,WAT
2010-01-01,WBA
2010-01-01,WDC
2010-01-01,WEC
2010-01-01,WELL
2010-01-01,WFC
2010-01-01,WFM
2010-01-01,WFR
2010-01-01,WHR
2010-01-01,WIN
2010-01-01,WM
2010-01-01,WMB
2010-01-01,WMT
2010-01-01,WU
2010-01-01,WY
2010-01-01,WYN
2010-01-01,WYNN
2010-01-01,X
2010-01-01,XEL
2010-01-01,XL
2010-01-01,XLNX
2010-01-01,XOM
2010-01-01,XRAY
2010-01-01,XRX
2010-01-01,XTO
2010-01-01,YHOO
2010-01-01,YUM
2010-01-01,ZBH
2010-01-01,ZION
2015-01-01,A
2015-01-01,AA
2015-01-01,AAPL
2015-01-01,ABBV
2015-01-01,ABT
2015-01-01,ACE
2015-01-01,ACN
2015-01-01,ADBE
2015-01-01,ADI
2015-01-01,ADM
2015-01-01,ADP
2015-01-01,ADS
2015-01-01,ADSK
2015-01-01,ADT
2015-01-01,AEE
2015-01-01,AEP
2015-01-01,AES
2015-01-01,AET
2015-01-01,AFL
2015-01-01,AGN
2015-01-01,AIG
2015-01-01,AIV
2015-01-01,AIZ
2015-01-01,AKAM
2015-01-01,ALL
2015-01-01,ALLE
2015-01-01,ALTR
2015-01-01,ALXN
2015-01-01,AMAT
2015-01-01,AME
2015-01-01,AMG
2015-01-01,AMGN
2015-01-01,AMP
2015-01-01,AMT
2015-01-01,AMZN
2015-01-01,AN
2015-01-01,ANDV
2015-01-01,AON
2015-01-01,APA
2015-01-01,APC
2015-01-01,APD
2015-01-01,APH
2015-01-01,APTV
2015-01-01,ARG
2015-01-01,ATI
2015-01-01,AVB
2015-01-01,AVGO
2015-01-01,AVP
2015-01-01,AVY
2015-01-01,AXP
2015-01-01,AZO
2015-01-01,BA
2015-01-01,BAC
2015-01-01,BALL
2015-01-01,BAX
2015-01-01,BBBY
2015-01-01,BBWI
2015-01-01,BBY
2015-01-01,BCR
2015-01-01,BDX
2015-01-01,BEN
2015-01-01,BF.B
2015-01-01,BHI
2015-01-01,BIIB
2015-01-01,BKNG
2015-01-01,BLK
2015-01-01,BMY
2015-01-01,BNY
2015-01-01,BRCM
2015-01-01,BRK.B
2015-01-01,BSX
2015-01-01,BWA
2015-01-01,BXP
2015-01-01,C
2015-01-01,CA
2015-01-01,CAG
2015-01-01,CAH
2015-01-01,CAM
2015-01-01,CAT
2015-01-01,CB
2015-01-01,CBRE
2015-01-01,CCE
2015-01-01,CCI
2015-01-01,CCL
2015-01-01,CELG
2015-01-01,CERN
2015-01-01,CF
2015-01-01,CFN
2015-01-01,CHK
2015-01-01,CHRW
2015-01-01,CI
2015-01-01,CINF
2015-01-01,CL
2015-01-01,CLX
2015-01-01,CMA
2015-01-01,CMCSA
2015-01-01,CME
2015-01-01,CMG
2015-01-01,CMI
2015-01-01,CMS
2015-01-01,CNP
2015-01-01,CNX
2015-01-01,COF
2015-01-01,COL
2015-01-01,COP
2015-01-01,COR
2015-01-01,COST
2015-01-01,COV
2015-01-01,CPB
2015-01-01,CPRI
2015-01-01,CRM
2015-01-01,CSC
2015-01-01,CSCO
2015-01-01,CSX
2015-01-01,CTAS
2015-01-01,CTRA
2015-01-01,CTSH
2015-01-01,CTXS
2015-01-01,CVC
2015-01-01,CVS
2015-01-01,CVX
2015-01-01,D
2015-01-01,DAL
2015-01-01,DD
2015-01-01,DE
2015-01-01,DFS
2015-01-01,DG
2015-01-01,DGX
2015-01-01,DHI
2015-01-01,DHR
2015-01-01,DIS
2015-01-01,DISCA
2015-01-01,DISCK
2015-01-01,DLTR
2015-01-01,DNB
2015-01-01,DNR
2015-01-01,DO
2015-01-01,DOC
2015-01-01,DOV
2015-01-01,DOW
2015-01-01,DPS
2015-01-01,DRI
2015-01-01,DTE
2015-01-01,DTV
2015-01-01,DUK
2015-01-01,DVA
2015-01-01,DVN
2015-01-01,EA
2015-01-01,EBAY
2015-01-01,ECHO
2015-01-01,ECL
2015-01-01,ED
2015-01-01,EFX
2015-01-01,EIX
2015-01-01,EL
2015-01-01,ELV
2015-01-01,EMC
2015-01-01,EMN
2015-01-01,EMR
2015-01-01,EOG
2015-01-01,EQR
2015-01-01,EQT
2015-01-01,ES
2015-01-01,ESRX
2015-01-01,ESS
2015-01-01,ESV
2015-01-01,ETFC
